date,open,high,low,close,volume
2006-10-12,172.54,174.09,172.25,173.1,90789.0
2006-10-13,175.48,176.08,175.04,175.42,138807.0
2006-10-16,176.47,176.77,175.62,176.51,94703.0
2006-10-17,176.98,176.98,174.42,175.85,98487.0
2006-10-18,175.11,176.52,174.11,176.19,122991.0
2006-10-19,176.46,176.82,175.57,176.11,112420.0
2006-10-20,176.49,177.71,176.45,177.35,115846.0
2006-10-23,177.66,177.97,176.51,177.36,89468.0
2006-10-24,178.48,178.6,177.15,177.49,95383.0
2006-10-25,177.78,178.69,177.4,178.2,82574.0
2006-10-26,178.51,179.0,177.91,178.53,91222.0
2006-10-27,179.06,179.24,176.98,177.85,84623.0
2006-10-30,177.05,177.06,175.65,175.99,69851.0
2006-10-31,176.04,176.91,175.2,176.84,152212.0
2006-11-01,177.76,178.5,176.97,177.94,93676.0
2006-11-02,177.58,179.22,177.41,179.22,86565.0
2006-11-03,179.34,179.42,178.56,179.14,91124.0
2006-11-06,178.51,178.51,176.37,178.41,104041.0
2006-11-07,179.72,180.18,179.19,179.45,91402.0
2006-11-08,179.97,180.27,178.51,178.61,102795.0
2006-11-09,178.93,181.31,178.89,181.31,85441.0
2006-11-10,180.55,181.42,180.29,180.78,77259.0
2006-11-13,181.3,181.35,179.51,180.93,75837.0
2006-11-14,181.75,182.34,181.34,182.3,91065.0
2006-11-15,182.87,183.07,182.11,182.9,101766.0
2006-11-16,183.56,183.56,182.45,182.69,116398.0
2006-11-17,183.18,183.53,182.23,182.94,116587.0
2006-11-20,183.13,183.16,181.41,181.6,101617.0
2006-11-21,181.76,182.25,181.34,182.06,120635.0
2006-11-22,181.92,184.27,181.91,184.24,104784.0
2006-11-23,183.8,184.48,183.12,183.77,102720.0
2006-11-24,183.87,184.36,182.61,183.91,110347.0
2006-11-27,183.61,184.34,183.0,184.27,92732.0
2006-11-28,181.95,182.76,181.62,182.42,82684.0
2006-11-29,182.69,184.15,182.64,183.8,95059.0
2006-11-30,184.47,185.41,184.47,184.96,94175.0
2006-12-01,185.12,185.54,184.43,185.28,80089.0
2006-12-04,184.83,185.11,184.27,184.31,77862.0
2006-12-05,185.11,185.64,183.5,183.53,125528.0
2006-12-06,183.8,183.83,180.77,182.6,88638.0
2006-12-07,182.35,182.97,181.76,182.19,101834.0
2006-12-08,180.84,180.84,178.94,179.49,90894.0
2006-12-11,179.45,180.25,179.32,179.5,58667.0
2006-12-12,179.7,179.86,177.44,177.93,68019.0
2006-12-13,177.76,179.3,177.49,178.75,68413.0
2006-12-14,179.04,183.57,177.83,183.57,116454.0
2006-12-15,183.51,184.45,182.62,183.82,183160.0
2006-12-18,184.55,186.02,184.54,185.38,102036.0
2006-12-19,185.08,185.82,184.31,184.63,84591.0
2006-12-20,184.92,187.07,184.92,186.54,110767.0
2006-12-21,186.8,187.06,185.48,185.81,81283.0
2006-12-22,185.26,186.29,185.25,185.98,84025.0
2006-12-26,185.59,186.49,184.02,185.62,93765.0
2006-12-27,184.56,184.96,183.46,184.3,56588.0
2006-12-28,185.45,185.93,184.26,185.39,68620.0
2007-01-02,186.02,186.15,184.91,185.7,68790.0
2007-01-03,185.84,186.02,182.13,182.13,87839.0
2007-01-04,182.26,182.3,179.32,180.52,108367.0
2007-01-05,180.71,180.97,177.33,179.1,158915.0
2007-01-08,177.8,178.86,176.45,177.08,93592.0
2007-01-09,177.91,178.58,176.64,177.52,101666.0
2007-01-10,177.22,177.22,173.58,174.99,114430.0
